イニシャル,ホテル名,住所,備考
アパ,アパホテル〈札幌大通駅前南〉,札幌市中央区南２条西７丁目１０−１,南２条通北側
アパ,アパホテル〈TKP札幌駅前〉,札幌市中央区北２条西２丁目19 TKP札幌ビル6F,北３条通南側
アパ,アパホテル〈TKP札幌駅北口〉EXCELLENT,札幌市北区北１０条西３丁目７,９と１０の間北側
アパ,アパホテル〈札幌すすきの駅前〉,札幌市中央区南４条西２丁目２−５,ローソン
アパ,アパホテル〈札幌すすきの駅西〉,札幌市中央区南４条西７丁目１−１,
アパ,アパホテル〈札幌豊水すすきの駅前〉,札幌市中央区南６条西１丁目１１−２,６条と７条の間中通北側
アパ,アパホテル＆リゾート〈札幌〉,札幌市南区川沿４条２丁目,
アク,アクシアイン札幌すすきの,札幌市中央区南６条西５丁目８−６,5丁目と6丁目の間、東側
アル,アルファベッドイン札幌,札幌市中央区南１条西７丁目20−２,１条通北側
アベ,アベスト札幌,札幌市中央区南２条西６丁目１−１,元のサンルートニュー札幌
アン,アンドルームス札幌すすきの,札幌市中央区南７条西１丁目１−９,南６条と７条の間　南側　ｏｒ創成川側道沿い
ウイ,ホテルウイングインターナショナル札幌,札幌市中央区南６条西６丁目２−２,南６条通南側
ヴィ,ヴィラコウシドウ 大通り,札幌市中央区大通西１４丁目３−１８,大通り１３と１４の間
ヴィ,ヴィラコウシドウ琴似,札幌市西区琴似２条５丁目２−１０,琴似本通７－１１の裏
ヴィ,ヴィラコウシドウ琴似アネックス,札幌市西区琴似2条4丁目4-26,本通からヤマチの角を北に行き西側
ヴィ,ヴィアインプライム札幌大通り,札幌市中央区南３条西２丁目１０−１,南向き一通西側
ウイ,ウインダムガーデン札幌大通（ＦＰ　ＨＯＴＥＬＳ）,札幌市中央区南２条西７丁目７−１,北向き一通西側
エミ,ホテル　エミオン札幌,札幌市北区北８条西１丁目４番地,北８条通り　北側
O,ONSEN RYOKAN 由縁,札幌市中央区北１条西７丁目６,昔のエルムホテル
オデ,オディシス札幌大通公園ホテル,札幌市中央区大通西8-2-36,北大通りに面している　旧ベストウエスタン
カプ,カプセルイン札幌,札幌市中央区南３条西３丁目７,都通り
カラ,からくさホテル,札幌市中央区南３条西５丁目２４,南3条通　北側
ガー,ガーデンズキャビン,札幌市中央区南１条西４丁目４−１ 太陽ビル,南1条通り　南側　１Ｆ　セブンイレブンがある
ガー,ガーデンズスティ東札幌,札幌市東札幌３条２丁目１−３,南郷通　旧アセントイン
クラ,ホテルクラッセスティ札幌,札幌市中央区南８条西２丁目５−９０,西3丁目通
クロ,クロスホテル,札幌市中央区北２条西２丁目２３,２条と３条の間　一通東側
クイ,クインテッサホテル 札幌,札幌市中央区南８条西５丁目,セイコーマートの向かえ
クイ,クインテッサホテル札幌すすきの,札幌市中央区南６条西４丁目１-２,南６条通南側　野口ビル隣
クイ,クインテッサホテル札幌すすきの６３　Relax&Spa,札幌市中央区南６条西３丁目１−１１,南6条と7条の間の道　東向き一通（旧ｾﾝﾁｭﾘｵﾝﾎﾃﾙ）
クラ,札幌グランベルホテル,札幌市中央区南3条西8丁目10-1,アーケードのない狸小路　南側
クラ,すすきのグランベルホテル,札幌市中央区南５条西２丁目６−２,５条通　社交会館並び
クラ,札幌ホテル バイ グランベル,札幌市東区北６条東２丁目２−２,北７条通　南側　ｏｒ　南向き一通西側
グロ,ホテルグローバルビュー札幌,札幌市中央区南６条西８丁目2−１,西７丁目、８丁目の間、西側
ケイ,ホテル京阪札幌,札幌市北区北６条西６丁目１−９,南から来ると一通からガード下超えて右折
ケイ,京王プレリアホテル札幌,札幌市北区北８条西４丁目１１−１,北大通
ケイ,京急ＥＸホテル札幌,札幌市北区北６条西４丁目２−６,ノースゲート跡
G,GUEST HOUSE NONAKA,札幌市中央区南５条西９丁目１０１６−１３,西８、９丁目通を北に向かいテンポスを左、北側
コン,コンフォートホテル札幌,札幌市中央区南５条西１丁目２−１０,北向一通西側
コー,コートヤード バイ マリオット札幌,札幌市中央区南10条西1丁目1番57号,豊水通り　７月２３日ＯＰＥＮ
ザ,ザ ノット札幌,札幌市中央区南３条西３丁目１６−２,千秋庵のビル
シア,シアテル札幌,札幌市中央区南４条西５丁目８ F-45ビル 3階,Ｆ４５ビル
スー,スーパーホテル札幌 すすきの,札幌市中央区南６条西２丁目８−１,
スー,スーパーホテル北５条通り,札幌市中央区北４条西１２丁目１−４,北５条通り
スマ,スマイルホテルプレミアム札幌すすきの,札幌市中央区南４条西１丁目１３−１,36号線沿
スマ,スマイルホテル札幌すすきの南,札幌市中央区南７条西１丁目１３－７,ローソンななめ向かい　旧レッドプラネット
サツ,札幌ストリームホテル,札幌市中央区南４条西４丁目1−１,COCONO SUSUKINO内
ソラ,ソラリア西鉄ホテル札幌,札幌市中央区北４条西５丁目１−２,北４条通北側
ソウ,相鉄フレッサイン札幌すすきの,札幌市中央区南５条西２丁目６−１,南向一通西側
創成,ホテル創成札幌Ｍギャラリー,札幌市中央区北2条東3丁目 サッポロファクトリー西館,２条と３条の間　旧クラビー札幌
北海,北海道第一ホテルサッポロ,札幌市北区北２３条西４丁目２−６,２３と２４の間
ダイ,ダイワロイネットホテル 札幌すすきの,札幌市中央区南４条西１丁目２−１,
ダイ,ダイワロイネットホテル中島公園,札幌市中央区南９条西５丁目１−１,南９条通南側
暖雪,暖雪　札幌,札幌市中央区南6条東2丁目1-1,南５条と南６条の間　（旧東横イン札幌すすきの南）
テン,テンザホテル＆スカイスパ・札幌セントラル,札幌市中央区南２条西８丁目６−１,南２条通　南側
トウ,東急スティ 札幌,札幌市中央区南１条西１丁目１３−４,１条通から創成通と南向１通の間の一通を南に向かい東側
トウ,東急スティ札幌大通,札幌市中央区南２条西５丁目26−２,南向一通西側
トウ,東横INN札幌駅南口,札幌市中央区北３条西１丁目１−１６,北３条通から中通西側
